# HEADER: Prodid    : IDQ65448                                                                                                                                                                                                                                                                                                                                                                                  
# HEADER: Prodname  : Hourly River Height Bulletin in CSV Format                                                                                                                                                                                                                                                                                                                                                
# HEADER: Generated : 05-12-2010 12:45:41                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Notes     : Data from automatic stations have not been checked and may have errors.                                                                                                                                                                                                                                                                                                                   
# HEADER:             All heights are in metres.                                                                                                                                                                                                                                                                                                                                                                
# HEADER:             This product includes data made available to the Bureau by other agencies                                                                                                                                                                                                                                                                                                                 
# HEADER:             Separate approval may be required to use the data for other purposes.                                                                                                                                                                                                                                                                                                                     
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Format    : stn_num,sensor_num,name,obs_time,hgt,datum,class,tendency,xinghgt,xingname,xingtype,long,lat                                                                                                                                                                                                                                                                                              
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
     27015,         0,MORETON                       ,05-12-2010 07:00:00,      2.85,L,Unknown    ,Falling Slowly,        6.6,Wenlock River Bridge                    ,B,  142.6389,  -12.4536                                                                                                                                                                                                                   
     29166,         0,RIVERSLEIGH TM                ,05-12-2010 08:00:00,     1.578,L,Below Minor,Steady        ,           ,                                        , ,  138.8033,  -18.9703                                                                                                                                                                                                                   
     31173,         0,MYOLA TM                      ,05-12-2010 11:00:00,      .725,L,Below Minor,Steady        ,          5,Russett Park Bridge                     ,B,  145.6122,  -16.7997                                                                                                                                                                                                                   
     31205,         0,COPPERLODE DAM ALERT          ,05-12-2010 11:08:15,      -.01,L,Unknown    ,Steady        ,          0,                                        ,S,  145.6747,  -16.9794                                                                                                                                                                                                                   
     32109,         0,UPPER MURRAY TM               ,05-12-2010 11:00:00,     2.755,L,Below Minor,Steady        ,           ,                                        , ,  145.8053,  -18.1069                                                                                                                                                                                                                   
     32155,         0,CENTRAL MILL TM               ,05-12-2010 11:20:00,     2.025,L,Below Minor,Steady        ,        3.9,Old Bridge at Central Mill              ,O,  145.9786,  -17.6094                                                                                                                                                                                                                   
     32160,         0,CENTRAL MILL ALERT            ,05-12-2010 12:23:48,      1.95,L,Below Minor,Steady        ,        3.9,Old Central Mill Bridge                 ,O,  145.9792,  -17.6089                                                                                                                                                                                                                   
     32161,         0,CORSIS ALERT                  ,05-12-2010 10:40:00,      2.49,L,Below Minor,Steady        ,           ,                                        , ,  145.9014,  -17.5967                                                                                                                                                                                                                   
     32163,         0,INNISFAIL WHARF ALERT         ,05-12-2010 12:38:37,      2.33,L,Below Minor,Falling       ,           ,                                        , ,  146.0325,  -17.5236                                                                                                                                                                                                                   
     32165,         0,NERADA ALERT                  ,05-12-2010 11:01:44,      1.63,L,Below Minor,Steady        ,           ,                                        , ,  145.8464,  -17.5308                                                                                                                                                                                                                   
     32166,         0,TUNG OIL ALERT                ,05-12-2010 11:54:40,       1.8,L,Below Minor,Steady        ,           ,                                        , ,  145.9325,  -17.5456                                                                                                                                                                                                                   
     32167,         0,EURAMO TM                     ,05-12-2010 11:30:00,     3.423,L,Below Minor,Falling       ,        8.7,Tully River Bridge (new)                ,A,  145.9425,  -17.9919                                                                                                                                                                                                                   
     32169,         0,GLENEAGLE ALERT               ,05-12-2010 11:56:11,      2.57,L,Below Minor,Steady        ,           ,                                        , ,  145.3325,  -18.1919                                                                                                                                                                                                                   
     32170,         0,NASH'S CROSSING ALERT         ,05-12-2010 12:11:28,      1.55,L,Below Minor,Steady        ,           ,                                        , ,  145.7722,  -18.4125                                                                                                                                                                                                                   
     32171,         0,INGHAM PUMP STATION AL        ,05-12-2010 11:19:57,       2.4,L,Below Minor,Steady        ,           ,                                        , ,  146.1444,  -18.6347                                                                                                                                                                                                                   
     32173,         0,PEACOCK SIDING ALERT          ,05-12-2010 11:00:42,         1,L,Below Minor,Steady        ,           ,Seri Bridge (Property/Farm Bridge)      , ,  145.9961,  -18.6797                                                                                                                                                                                                                   
     32174,         0,ABERGOWRIE ALERT              ,05-12-2010 11:26:24,      3.25,L,Below Minor,Steady        ,           ,                                        , ,  145.9364,  -18.4889                                                                                                                                                                                                                   
     32184,         0,ZATTAS ALERT                  ,05-12-2010 10:47:30,      1.08,L,Below Minor,Steady        ,           ,                                        , ,  145.8294,  -18.4506                                                                                                                                                                                                                   
     32185,         0,HALIFAX ALERT                 ,05-12-2010 12:36:25,      1.37,L,Below Minor,Falling       ,        6.5,Herbert River Bridge                    ,A,  146.2803,  -18.5789                                                                                                                                                                                                                   
     32187,         0,LAKE LUCY TM                  ,05-12-2010 08:00:00,     2.302,L,Unknown    ,Falling       ,           ,                                        , ,  145.1856,  -18.5139                                                                                                                                                                                                                   
     33076,         0,YAAMBA                        ,05-12-2010 09:00:00,      10.3,L,Minor      ,Falling       ,       18.5,Bruce Highway Bridge (Alligator Creek)  ,A,  150.3669,  -23.1333                                                                                                                                                                                                                   
     33083,         0,CARDOWAN                      ,05-12-2010 07:00:00,       4.2,L,Below Minor,Rising Fast   ,          5,Connors River Bridge                    ,B,  149.0647,  -22.1203                                                                                                                                                                                                                   
     33264,         0,BOWEN PUMP STATION ALERT      ,05-12-2010 11:36:56,       1.6,L,Below Minor,Falling       ,        2.8,Inverdon Bridge                         ,B,  148.2044,  -20.0089                                                                                                                                                                                                                   
     33265,         0,IDA CREEK ALERT               ,05-12-2010 03:44:46,      1.11,L,Below Minor,Steady        ,           ,                                        , ,  148.1175,  -20.2886                                                                                                                                                                                                                   
     33267,         0,MT DANGAR ALERT               ,05-12-2010 11:37:40,       1.7,L,Below Minor,Rising        ,        1.2,Mt Dangar Causeway                      ,C,  148.1217,  -20.2197                                                                                                                                                                                                                   
     33268,         0,REEVES ALERT                  ,05-12-2010 10:07:32,     1.464,L,Below Minor,Rising        ,           ,                                        , ,  148.1556,  -20.1494                                                                                                                                                                                                                   
     33274,         0,PETER FAUST DAM TW TM         ,05-12-2010 06:00:00,     1.966,L,Below Minor,Steady        ,           ,                                        , ,  148.3908,  -20.3681                                                                                                                                                                                                                   
     33277,         0,MIRANI WEIR TM                ,05-12-2010 11:00:00,     2.701,L,Below Minor,Rising        ,           ,                                        , ,  148.8297,  -21.1789                                                                                                                                                                                                                   
     33279,         0,CLARE TM                      ,05-12-2010 11:00:00,     6.456,L,Below Minor,Falling       ,           ,                                        , ,  147.2436,  -19.7586                                                                                                                                                                                                                   
     33280,         0,POWERLINE TM                  ,05-12-2010 11:00:00,     1.375,L,Below Minor,Rising        ,           ,                                        , ,  147.1103,  -19.6333                                                                                                                                                                                                                   
     33281,         0,GARGETT TM                    ,05-12-2010 09:00:00,     2.252,L,Below Minor,Falling       ,       17.9,Frank Neilson Bridge                    ,B,  148.7444,  -21.1806                                                                                                                                                                                                                   
     33282,         0,SARICH'S TM                   ,05-12-2010 08:00:00,     3.088,L,Below Minor,Falling       ,           ,                                        , ,  148.8181,  -21.2717                                                                                                                                                                                                                   
     33283,         0,DUMBLETON ROCKS TM            ,05-12-2010 08:00:00,    14.927,L,Below Minor,Steady        ,         16,Pioneer River Causeway                  ,F,  149.0739,  -21.1447                                                                                                                                                                                                                   
     33285,         0,THE GAP TM                    ,05-12-2010 11:00:00,     9.681,L,Below Minor,Steady        ,           ,                                        , ,    150.11,  -23.0883                                                                                                                                                                                                                   
     33286,         0,CLARE ALERT                   ,05-12-2010 11:56:31,       6.3,L,Below Minor,Falling       ,           ,                                        , ,  147.2436,  -19.7586                                                                                                                                                                                                                   
     33287,         0,MILLAROO ALERT                ,05-12-2010 11:33:36,     6.635,L,Below Minor,Falling       ,           ,                                        , ,  147.2508,  -19.9717                                                                                                                                                                                                                   
     33288,         0,INKERMAN BRIDGE ALERT         ,05-12-2010 12:06:49,         5,L,Below Minor,Falling       ,       18.3,Inkerman Bridge                         ,B,  147.3972,  -19.6433                                                                                                                                                                                                                   
     33289,         0,STRATHBOGIE ALERT             ,05-12-2010 11:57:50,      1.71,L,Below Minor,Steady        ,           ,Bogie River Crossing                    , ,  147.5631,  -20.1425                                                                                                                                                                                                                   
     33291,         0,DALBEG ALERT                  ,05-12-2010 12:26:24,      6.66,L,Below Minor,Falling       ,           ,                                        , ,  147.2961,  -20.3089                                                                                                                                                                                                                   
     33292,         0,MYUNA ALERT                   ,05-12-2010 11:47:36,       3.7,L,Below Minor,Rising        ,           ,                                        , ,  147.5981,  -20.5819                                                                                                                                                                                                                   
     33299,         0,SARICH'S ALERT                ,05-12-2010 11:46:46,      2.99,L,Below Minor,Steady        ,           ,                                        , ,  148.8203,  -21.2725                                                                                                                                                                                                                   
     33300,         0,DUMBLETON ROCKS ALERT         ,05-12-2010 12:27:35,      14.9,L,Below Minor,Steady        ,         16,Pioneer River Causeway                  ,F,  149.0753,  -21.1439                                                                                                                                                                                                                   
     33301,         0,WHITEFORD'S ALERT             ,05-12-2010 12:21:11,      2.19,L,Below Minor,Falling       ,           ,                                        , ,   148.835,  -21.3228                                                                                                                                                                                                                   
     33302,         0,MIRANI WEIR ALERT             ,05-12-2010 12:12:30,      2.66,L,Below Minor,Steady        ,           ,                                        , ,  148.8311,  -21.1772                                                                                                                                                                                                                   
     33303,         0,MACKAY ALERT                  ,05-12-2010 12:43:02,       4.7,L,Below Minor,Falling       ,        9.6,Forgan-Smith Bridge                     ,B,  149.1883,  -21.1397                                                                                                                                                                                                                   
